epoch,loss,accuracy
0,3.9887746987527795,0.31846026490066226
10,3.542077000680236,0.356953642384106
20,3.2752813422240057,0.3881780195521917
30,3.247840658718387,0.415400307473983
40,3.0010761206400427,0.44083017975402083
50,2.882263576014491,0.46530865657521286
60,2.689454633161045,0.4898634950669009
70,2.4615220278642487,0.5151948320719016
80,2.285223613568038,0.5417862398822664
90,2.06670458838978,0.5678630558183538
100,1.9741776838207876,0.5930829104670164
110,1.8633478860191952,0.6165326395458846
120,1.7545303347094958,0.6381822647551124
130,1.7107718728461576,0.658152284092445
140,1.5398178345320241,0.6763402712078209
150,1.5984856185759704,0.6928438386944181
160,1.5406811120889046,0.7080019756246869
170,1.5738830900519325,0.7218845264375066
180,1.5124072548964165,0.7345435193945128
190,1.4509533583384815,0.7461731315042573
