epoch,loss,accuracy
0,2.700057019473364,0.4254296875
10,2.4611779088216523,0.4737825520833333
20,2.3320901434226995,0.5051822916666666
30,2.244245869824663,0.5284798177083333
40,2.173820143238952,0.5482317708333333
50,2.111595062755255,0.5662608506944444
60,2.0565035962277936,0.5824981398809523
70,2.0076053783949463,0.5970833333333333
80,1.9633682773890042,0.6102662037037037
90,1.9231877156415333,0.62222265625
100,1.8856212102740326,0.63328125
110,1.8505104216245107,0.64365234375
120,1.81771368419656,0.65328125
130,1.787106045123101,0.6622451636904761
140,1.758415041377147,0.6705685763888889
150,1.7312316454807297,0.678369140625
160,1.7057567532324032,0.6856564031862745
170,1.6815538899829887,0.692513744212963
180,1.6585029390429784,0.6990145285087719
190,1.6364093567472882,0.7052063802083334
