epoch,loss,accuracy
0,3.162959560871124,0.2953392857142857
10,2.9403558485252517,0.32989285714285715
20,2.831278080100105,0.35370833333333335
30,2.765608246045453,0.37025892857142856
40,2.7197008559874125,0.3830321428571429
50,2.6818883387020658,0.39469642857142856
60,2.6526532977259887,0.4040714285714286
70,2.6270195743909905,0.41249107142857144
80,2.6053573110009,0.4199107142857143
90,2.586125331893989,0.42653928571428573
100,2.56832651191795,0.4327775974025974
110,2.5524891312611953,0.43849404761904764
120,2.537661744925347,0.44380906593406594
130,2.524032304678036,0.44877423469387756
140,2.5111103095190868,0.4534595238095238
150,2.498876790229231,0.4579319196428571
160,2.4875422698544853,0.46203361344537813
170,2.476312118258741,0.46608333333333335
180,2.465656102175551,0.4699125939849624
190,2.4555200864004236,0.4735294642857143
