epoch,loss,accuracy
0,2.8383212067049444,0.360718085106383
10,2.6645389476608723,0.39818262411347516
20,2.5768652125622364,0.4223936170212766
30,2.5154597289712295,0.4415868794326241
40,2.4686400688075003,0.45713829787234045
50,2.430177688297087,0.47016252955082743
60,2.39536596286321,0.4823530901722391
70,2.3636961839707396,0.49361591312056735
80,2.333909005454152,0.504303585500394
90,2.3061319317293507,0.5143067375886525
100,2.27959720321235,0.5238604126370083
110,2.2542040339718192,0.5330097517730497
120,2.229767110629675,0.5417737315875614
130,2.206443826689969,0.5500785207700102
140,2.1840503855281406,0.5579929078014184
150,2.1621307455396925,0.5656382978723404
160,2.14141280425505,0.5728744263662912
170,2.1213653331111977,0.5798517533490938
180,2.101702488374692,0.5865770810003733
190,2.0825664661391405,0.5930625
