epoch,loss,accuracy
0,2.68604011651143,0.3964007782101167
10,2.401442202584753,0.46306420233463036
20,2.2594172243045305,0.5004182879377432
30,2.161894864481711,0.5274392023346304
40,2.0887330454601853,0.5480038910505837
50,2.027474279671173,0.5654085603112841
60,1.9756915336804233,0.5801750972762646
70,1.9301871253944325,0.5931967412451362
80,1.8899207863419076,0.6046703415477734
90,1.8531547830169768,0.6151400778210117
100,1.8199100246238,0.6246356561726212
110,1.78871840088168,0.6334322308690012
120,1.7603886133501965,0.6414808440586651
130,1.7343924336863465,0.648838938299055
140,1.7099497131880774,0.6557671854734112
150,1.6873072978036645,0.6621832441634241
160,1.6658846697332004,0.6682415884641795
170,1.645683914624248,0.6739677907479464
180,1.6270003654420706,0.679260700389105
190,1.6089494469907961,0.6843788910505837
